home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,away_team_substitution_why,expected_goals_xg_home,expected_goals_xg_host,Ball_Possession_Home,Ball_Possession_Host,Goal_Attempts_Home,Goal_Attempts_Host,Shots_on_Goal_Home,Shots_on_Goal_Host,Shots_off_Goal_Home,Shots_off_Goal_Host,Free_Kicks_Home,Free_Kicks_Host,Corner_Kicks_Home,Corner_Kicks_Host,Offsides_Home,Offsides_Host,Throw_ins_Home,Throw_ins_Host,Goalkeeper_Saves_Home,Goalkeeper_Saves_Host,Fouls_Home,Fouls_Host,Red_Cards_Home,Red_Cards_Host,Yellow_Cards_Home,Yellow_Cards_Host,Total_Passes_Home,Total_Passes_Host,Completed_Passes_Home,Completed_Passes_Host,Attacks_Home,Attacks_Host,Dangerous_Attacks_Home,Dangerous_Attacks_Host,Distance_Covered_(km)_Home,Distance_Covered_(km)_Host,referee,venue,capacity,attendance
Union Berlin,Werder Bremen,2,1,2023/2024,16.03,17:30,"""0 - 0""","""2 - 1""","[""50'"", ""52'""]","['1 - 0', '2 - 0']","['Vertessen Y.', 'Aaronson B.']","['-', '(Vertessen Y.)']","[""63'""]",['2 - 1'],['Weiser M.'],['(Ducksch M.)'],"[""26'"", ""27'"", ""30'""]","['Vogt K.', 'Gosens R.', 'Tousart L.']","['(Holding)', '(Tripping)', '(Tripping)']","[""33'"", ""38'"", ""41'"", ""72'"", ""90'""]","['Lynen S.', 'Weiser M.', 'Ducksch M.', 'Stage J.', 'Keita N.']","['(Foul)', '(Tripping)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Tripping)']",,,,,,,"[""68'"", ""68'"", ""78'"", ""85'"", ""85'""]","['Volland K.', 'Hollerbach B.', 'Laidouni A.', 'Roussillon J.', 'Kral A.']","['Vertessen Y.', 'Kaufmann M.', 'Aaronson B.', 'Gosens R.', 'Tousart L.']","['-', '-', '-', '-', '-']","[""64'"", ""64'"", ""76'"", ""76'"", ""86'""]","['Bittencourt L.', 'Agu F.', 'Kownacki D.', 'Alvero S.', 'Keita N.']","['Lynen S.', 'Deman O.', 'Njinmah J.', 'Stage J.', 'Malatini J.']","['-', '-', '-', '-', '-']",1.25,1.02,48%,52%,11,10,6,2,5,8,10,11,4,3,0,0,18,12,1,4,16,16,,,3,5,414,439,340,356,114,98,48,29,125,119,Schlager D.  (Ger),Stadion An der Alten Försterei  (Berlin),22 012,22 012
Wolfsburg,Augsburg,1,3,2023/2024,16.03,17:30,"""1 - 1""","""0 - 2""","[""9'""]",['1 - 0'],['Wimmer P.'],['(Lacroix M.)'],"[""45+2'"", ""61'"", ""79'""]","['1 - 1', '1 - 2', '1 - 3']","['Maier A.', 'Jakic K.', 'Jakic K.']","['(Vargas R.)', '(Tietz P.)', '(Engels A.)']","[""82'""]",['Svanberg M.'],['(Tripping)'],"[""64'"", ""68'"", ""70'""]","['Jensen F.', 'Demirovic E.', 'Biel P.']","['(Foul)', '(Holding)', '(Elbowing)']","[""45'""]",['Wimmer P.'],['(Holding)'],,,,"[""67'"", ""78'"", ""86'"", ""87'""]","['Sarr A.', 'Majer L.', 'Rogerio', 'Vranckx A.']","['Tomas T.', 'Baku R.', 'Paredes K.', 'Svanberg M.']","['-', '-', '-', '-']","[""65'"", ""76'"", ""76'"", ""82'"", ""83'""]","['Biel P.', 'Engels A.', 'Pedersen M.', 'Beljo D.', 'Michel S.']","['Jensen F.', 'Vargas R.', 'Maier A.', 'Demirovic E.', 'Tietz P.']","['-', '-', '-', '-', '-']",1.52,1.19,51%,49%,15,14,4,5,11,9,23,13,8,6,1,5,11,17,2,3,12,19,1,0,1,3,394,392,331,306,84,84,80,45,107,112,Gerach T.  (Ger),Volkswagen Arena  (Wolfsburg),28 917,21 735
FC Koln,RB Leipzig,1,5,2023/2024,15.03,22:30,"""1 - 1""","""0 - 4""","[""18'""]",['1 - 1'],['Adamyan S.'],['(Martel E.)'],"[""15'"", ""63'"", ""67'"", ""70'"", ""82'""]","['0 - 1', '1 - 2', '1 - 3', '1 - 4', '1 - 5']","['Simons X.', 'Openda L.', 'Openda L.', 'Haidara A.', 'Poulsen Y.']","['(Sesko B.)', '(Simons X.)', '(Raum D.)', '-', '(Henrichs B.)']","[""49'"", ""66'""]","['Finkgrafe M.', 'Alidou F.']","['(Tripping)', '(Holding)']","[""62'"", ""72'""]","['Simons X.', 'Haidara A.']","['(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""73'"", ""73'"", ""80'"", ""80'"", ""88'""]","['Selke D.', 'Downs D.', 'Tigges S.', 'Christensen J.', 'Schmitz B.']","['Kainz F.', 'Alidou F.', 'Adamyan S.', 'Huseinbasic D.', 'Finkgrafe M.']","['-', '-', '-', '-', '-']","[""74'"", ""74'"", ""83'"", ""83'"", ""86'""]","['Baumgartner C.', 'Poulsen Y.', 'Kampl K.', 'Simakan M.', 'Bitshiabu E.']","['Sesko B.', 'Openda L.', 'Haidara A.', 'Henrichs B.', 'Lukeba C.']","['-', '-', '-', '-', '-']",1.68,4.27,38%,62%,9,23,2,7,7,16,14,12,3,6,1,1,16,15,2,1,11,12,,,2,2,287,599,224,521,72,139,28,60,,,Badstubner F.  (Ger),RheinEnergieStadion  (Cologne),50 000,49 000
Bayer Leverkusen,Wolfsburg,2,0,2023/2024,10.03,21:30,"""1 - 0""","""1 - 0""","[""37'"", ""86'""]","['1 - 0', '2 - 0']","['Tella N.', 'Wirtz F.']","['(Grimaldo A.)', '(Palacios E.)']",,,,,"[""80'""]",['Adli A.'],['(Tripping)'],"[""7'"", ""12'""]","['Gerhardt Y.', 'Jenz M.']","['(Tripping)', '(Holding)']",,,,"[""28'""]",['Jenz M.'],['(Tripping)'],"[""59'"", ""76'"", ""76'"", ""90'"", ""90'""]","['Adli A.', 'Iglesias B.', 'Hofmann J.', 'Hlozek A.', 'Andrich R.']","['Hincapie P.', 'Schick P.', 'Tella N.', 'Wirtz F.', 'Palacios E.']","['-', '-', '-', '-', '-']","[""32'"", ""63'"", ""63'"", ""87'"", ""87'""]","['Bornauw S.', 'Sarr A.', 'Vranckx A.', 'Wimmer P.', 'Behrens K.']","['Wind J.', 'Tomas T.', 'Majer L.', 'Zesiger C.', 'Gerhardt Y.']","['-', '-', '-', '-', '-']",2.26,0.12,70%,30%,19,2,7,1,12,1,7,6,9,2,0,0,18,12,1,5,6,7,0,1,1,3,889,275,836,215,171,39,130,15,110,104,Siebert D.  (Ger),BayArena  (Leverkusen),30 210,29 314
Bochum,Freiburg,1,2,2023/2024,10.03,17:30,"""0 - 1""","""1 - 1""","[""62'""]",['1 - 2'],['Ordets I.'],['(Stoger K.)'],"[""36'"", ""53'""]","['0 - 1', '0 - 2']","['Eggestein M.', 'Gregoritsch M.']","['(Gregoritsch M.)', '(Doan R.)']","[""33'"", ""45+4'"", ""82'""]","['Bernardo', 'Masovic E.', 'Losilla A.']","['(Elbowing)', '(Unsportsmanlike conduct)', '(Roughing)']","[""34'"", ""42'"", ""45+4'"", ""59'"", ""74'"", ""83'"", ""90+2'""]","['Hofler N.', 'Eggestein M.', 'Sallai R.', 'Gulde M.', 'Holer L.', 'Gunter C.', 'Kubler L.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Roughing)', '(Tripping)', '(Delay of game)', '(Roughing)']",,,,,,,"[""46'"", ""60'"", ""60'""]","['Hofmann P.', 'Daschner L.', 'Paciencia G.']","['Oermann T.', 'Forster P.', 'Broschinski M.']","['-', '-', '-']","[""69'"", ""69'"", ""75'"", ""75'"", ""90'""]","['Muslija F.', 'Holer L.', 'Rohl M.', 'Kubler L.', 'Keitel Y.']","['Grifo V.', 'Sallai R.', 'Gregoritsch M.', 'Ginter M.', 'Doan R.']","['-', '-', '-', '-', '-']",1.19,1.44,55%,45%,18,9,6,5,12,4,15,13,12,5,2,3,31,14,3,5,11,11,,,3,7,421,282,328,195,146,82,78,28,118,115,Fritz M.  (Ger),Vonovia Ruhrstadion  (Bochum),26 000,25 594
Werder Bremen,Dortmund,1,2,2023/2024,9.03,20:30,"""0 - 2""","""1 - 0""","[""70'""]",['1 - 2'],['Njinmah J.'],['(Schmid R.)'],"[""21'"", ""38'""]","['0 - 1', '0 - 2']","['Malen D.', 'Sancho J.']","['-', '(Brandt J.)']","[""77'""]",['Schmid R.'],['(Tripping)'],"[""78'"", ""90+5'""]","['Schlotterbeck N.', 'Adeyemi K.']","['(Tripping)', '(Tripping)']",,,,"[""45+1'""]",['Sabitzer M.'],['(Tripping)'],"[""65'"", ""65'"", ""79'"", ""83'"", ""84'""]","['Kownacki D.', 'Veljkovic M.', 'Bittencourt L.', 'Alvero S.', 'Woltemade N.']","['Stage J.', 'Malatini J.', 'Agu F.', 'Stark N.', 'Schmid R.']","['-', '-', '-', '-', '-']","[""46'"", ""65'"", ""65'"", ""74'"", ""84'""]","['Hummels M.', 'Adeyemi K.', 'Ozcan S.', 'Nmecha F.', 'Bensebaini R.']","['Malen D.', 'Brandt J.', 'Fullkrug N.', 'Sancho J.', 'Maatsen I.']","['-', '-', '-', '-', '-']",1.31,0.98,46%,54%,15,13,5,6,10,7,10,8,10,4,2,2,14,11,4,4,6,8,0,1,1,2,468,603,412,531,124,115,55,33,124,117,Aytekin D.  (Ger),Weserstadion  (Bremen),42 100,42 100
Augsburg,Heidenheim,1,0,2023/2024,9.03,17:30,"""1 - 0""","""0 - 0""","[""22'""]",['1 - 0'],['Gouweleeuw J.'],['(Maier A.)'],,,,,"[""27'""]",['Mbabu K.'],['(Roughing)'],"[""74'"", ""90+3'"", ""90+4'""]","['Gimber B.', 'Pick F.', 'Theuerkauf N.']","['(Roughing)', '(Roughing)', '(Unsportsmanlike conduct)']",,,,,,,"[""60'"", ""73'"", ""89'"", ""89'""]","['Rexhbecaj E.', 'Engels A.', 'Beljo D.', 'Bauer M.']","['Maier A.', 'Vargas R.', 'Tietz P.', 'Jensen F.']","['-', '-', '-', '-']","[""45+1'"", ""69'"", ""69'"", ""78'"", ""78'""]","['Theuerkauf N.', 'Busch M.', 'Sessa K.', 'Pick F.', 'Schimmer S.']","['Pieringer M.', 'Traore O. H.', 'Dovedan N.', 'Beste J.', 'Fohrenbach J.']","['(Injury)', '-', '-', '-', '-']",0.74,0.36,59%,41%,8,6,4,1,4,5,21,15,5,2,1,1,27,17,1,3,14,20,,,1,3,412,278,317,192,151,81,84,25,114,112,Willenborg F.  (Ger),WWK Arena  (Augsburg),30 660,30 660
B. Monchengladbach,FC Koln,3,3,2023/2024,9.03,17:30,"""1 - 1""","""2 - 2""","[""32'"", ""71'"", ""73'""]","['1 - 1', '2 - 2', '3 - 2']","['Honorat F.', 'Hack R.', 'Hack R.']","['(Neuhaus F.)', '(Lainer S.)', '(Scally J.)']","[""7'"", ""64'"", ""79'""]","['0 - 1', '1 - 2', '3 - 3']","['Alidou F.', 'Alidou F.', 'Downs D.']","['(Kainz F.)', '(Kainz F.)', '(Huseinbasic D.)']","[""31'"", ""47'"", ""83'""]","['Siebatcheu J.', 'Neuhaus F.', 'Weigl J.']","['(Roughing)', '(Unsportsmanlike conduct)', '(Tripping)']","[""22'"", ""39'"", ""41'"", ""83'""]","['Finkgrafe M.', 'Chabot J.', 'Hubers T.', 'Martel E.']","['(Tripping)', '(Holding)', '(Foul, misses next match)', '(Tripping)']",,,,,,,"[""62'"", ""70'"", ""70'"", ""72'""]","['Lainer S.', 'Hack R.', 'Reitz R.', 'Itakura K.']","['Netz L.', 'Kone M.', 'Ngoumou N.', 'Wober M.']","['-', '-', '-', '-']","[""65'"", ""75'"", ""75'"", ""87'""]","['Paqarada L.', 'Downs D.', 'Selke D.', 'Tigges S.']","['Maina L.', 'Alidou F.', 'Kainz F.', 'Adamyan S.']","['-', '-', '-', '-']",2,1.09,58%,42%,16,12,5,5,11,7,13,19,8,3,3,1,15,21,2,2,15,15,,,3,4,507,350,436,287,104,84,47,42,116,120,Zwayer F.  (Ger),Borussia-Park  (Mönchengladbach),54 042,54 042
Bayern Munich,Mainz,8,1,2023/2024,9.03,17:30,"""3 - 1""","""5 - 0""","[""13'"", ""19'"", ""45+7'"", ""47'"", ""61'"", ""66'"", ""70'"", ""90+2'""]","['1 - 0', '2 - 0', '3 - 1', '4 - 1', '5 - 1', '6 - 1', '7 - 1', '8 - 1']","['Kane H.', 'Goretzka L.', 'Kane H.', 'Muller T.', 'Musiala J.', 'Gnabry S.', 'Kane H.', 'Goretzka L.']","['(Musiala J.)', '-', '(Goretzka L.)', '(Musiala J.)', '(Kane H.)', '(Goretzka L.)', '-', '(Kimmich J.)']","[""31'""]",['2 - 1'],['Amiri N.'],['(Gruda B.)'],"[""5'""]",['Laimer K.'],['(Holding)'],"[""84'""]",['Widmer S.'],['(Roughing)'],,,,,,,"[""18'"", ""62'"", ""62'"", ""75'"", ""75'""]","['Guerreiro R.', 'Gnabry S.', 'Tel M.', 'Kim Min-Jae', 'Zaragoza B.']","['Davies A.', 'Sane L.', 'Muller T.', 'Dier E.', 'Musiala J.']","['(Injury)', '-', '-', '-', '-']","[""35'"", ""65'"", ""65'"", ""76'"", ""76'""]","['Fernandes E.', 'Richter M.', 'Ajorque L.', 'Hanche-Olsen A.', 'da Costa D.']","['Guilavogui J.', 'Lee Jae-Sung', 'Burkardt J.', 'Gruda B.', 'Krauss T.']","['(Injury)', '-', '-', '-', '-']",6.59,0.95,59%,41%,25,13,12,3,13,10,8,10,6,7,2,1,15,11,2,4,8,7,,,1,1,581,401,517,349,93,95,39,49,114,117,Ittrich P.  (Ger),Allianz Arena  (Munich),75 024,75 000
RB Leipzig,Darmstadt,2,0,2023/2024,9.03,17:30,"""1 - 0""","""1 - 0""","[""3'"", ""50'""]","['1 - 0', '2 - 0']","['Isherwood T.', 'Baumgartner C.']","['(Own goal)', '(Schlager X.)']",,,,,,,,"[""7'"", ""44'"", ""67'""]","['Muller A.', 'Klarer C.', 'Franjic B.']","['(Tripping)', '(Tripping)', '(Holding)']",,,,,,,"[""46'"", ""70'"", ""77'"", ""77'"", ""87'""]","['Baumgartner C.', 'Olmo D.', 'Seiwald N.', 'Sesko B.', 'Henrichs B.']","['Elmas E.', 'Openda L.', 'Kampl K.', 'Poulsen Y.', 'Simakan M.']","['-', '-', '-', '-', '-']","[""46'"", ""46'"", ""67'"", ""67'"", ""84'""]","['Karic E.', 'Polter S.', 'Seydel A.', 'Honsak M.', 'Gjasula K.']","['Muller A.', 'Torsiello F.', 'Vilhelmsson O.', 'Holtmann G.', 'Franjic B.']","['-', '-', '-', '-', '-']",3.57,0.67,61%,39%,28,9,8,4,20,5,14,3,8,4,0,1,19,16,4,6,3,14,,,0,3,621,311,571,271,144,60,66,25,116,118,Hartmann R.  (Ger),Red Bull Arena  (Leipzig),47 069,40 000
Stuttgart,Union Berlin,2,0,2023/2024,8.03,22:30,"""1 - 0""","""1 - 0""","[""19'"", ""65'""]","['1 - 0', '2 - 0']","['Guirassy S.', 'Fuhrich C.']","['(Karazor A.)', '-']",,,,,"[""84'""]",['Vagnoman J.'],['(Holding)'],"[""39'"", ""77'""]","['Khedira R.', 'Tousart L.']","['(Tripping)', '(Tripping)']",,,,"[""69'""]",['Schafer A.'],['(Tripping)'],"[""46'"", ""60'"", ""60'"", ""82'"", ""82'""]","['Anton W.', 'Leweling J.', 'Undav D.', 'Jeong Woo-Yeong', 'Dahoud M.']","['Rouault A.', 'Stenzel P.', 'Millot E.', 'Fuhrich C.', 'Stiller A.']","['-', '-', '-', '-', '-']","[""66'"", ""66'"", ""73'"", ""82'"", ""82'""]","['Hollerbach B.', 'Kral A.', 'Aaronson B.', 'Roussillon J.', 'Bedia C.']","['Vertessen Y.', 'Khedira R.', 'Volland K.', 'Leite D.', 'Gosens R.']","['-', '-', '-', '-', '-']",1.03,1.04,66%,34%,14,10,5,4,9,6,16,9,4,3,2,3,15,13,4,3,7,14,0,1,1,2,838,351,754,284,160,72,44,35,119,120,Schroder R.  (Ger),MHPArena  (Stuttgart),60 449,53 800
Hoffenheim,Werder Bremen,2,1,2023/2024,3.03,19:30,"""2 - 0""","""0 - 1""","[""8'"", ""44'""]","['1 - 0', '2 - 0']","['Beier M.', 'Beier M.']","['(Stach A.)', '(Bebou I.)']","[""90+2'""]",['2 - 1'],['Alvero S.'],['(Weiser M.)'],"[""49'"", ""51'"", ""61'"", ""78'""]","['Grillitsch F.', 'Tohumcu U.', 'Bulter M.', 'Kaderabek P.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Tripping)', '(Holding, misses next match)']","[""85'""]",['Deman O.'],['(Roughing)'],"[""73'""]",['Bulter M.'],['(Tripping)'],,,,"[""65'"", ""77'"", ""87'""]","['Geiger D.', 'Nsoki S.', 'Becker F. O.']","['Tohumcu U.', 'Beier M.', 'Geiger D.']","['-', '-', '(Injury)']","[""64'"", ""65'"", ""72'"", ""72'"", ""85'""]","['Njinmah J.', 'Deman O.', 'Alvero S.', 'Kownacki D.', 'Bittencourt L.']","['Ducksch M.', 'Agu F.', 'Stage J.', 'Woltemade N.', 'Gross C.']","['-', '-', '-', '-', '-']",2.09,1.74,48%,52%,14,18,7,8,7,10,14,13,3,3,2,3,9,11,7,5,11,10,1,0,5,1,414,463,339,394,111,106,39,41,116,117,Jollenbeck M.  (Ger),PreZero Arena  (Sinsheim),30 150,25 000
FC Koln,Bayer Leverkusen,0,2,2023/2024,3.03,17:30,"""0 - 1""","""0 - 1""",,,,,"[""37'"", ""73'""]","['0 - 1', '0 - 2']","['Frimpong J.', 'Grimaldo A.']","['-', '(Adli A.)']","[""16'"", ""30'""]","['Ljubicic D.', 'Martel E.']","['(Foul)', '(Tripping)']","[""23'"", ""59'""]","['Frimpong J.', 'Stanisic J.']","['(Roughing)', '(Delay of game)']","[""14'""]",['Thielmann J.'],['(Roughing)'],,,,"[""65'"", ""69'"", ""82'"", ""82'"", ""82'""]","['Diehl J.', 'Paqarada L.', 'Tigges S.', 'Schmitz B.', 'Huseinbasic D.']","['Adamyan S.', 'Diehl J.', 'Alidou F.', 'Martel E.', 'Maina L.']","['-', '(Injury)', '-', '-', '-']","[""46'"", ""65'"", ""65'"", ""79'"", ""82'""]","['Tella N.', 'Adli A.', 'Iglesias B.', 'Tapsoba E.', 'Palacios E.']","['Frimpong J.', 'Hofmann J.', 'Schick P.', 'Hincapie P.', 'Xhaka G.']","['-', '-', '-', '-', '-']",0.54,1.65,28%,72%,6,17,0,6,6,11,9,10,1,9,2,1,12,17,4,0,10,9,1,0,2,2,235,837,174,762,40,156,16,93,110,119,Stieler T.  (Ger),RheinEnergieStadion  (Cologne),50 000,50 000
Wolfsburg,Stuttgart,2,3,2023/2024,2.03,20:30,"""0 - 1""","""2 - 2""","[""50'"", ""83'""]","['1 - 1', '2 - 3']","['Maehle J.', 'Nmecha L.']","['(Majer L.)', '-']","[""14'"", ""54'"", ""78'""]","['0 - 1', '1 - 2', '1 - 3']","['Guirassy S.', 'Guirassy S.', 'Vagnoman J.']","['(Mittelstadt M.)', '(Penalty)', '(Leweling J.)']","[""3'"", ""22'"", ""52'""]","['Arnold M.', 'Baku R.', 'Maehle J.']","['(Tripping)', '(Holding)', '(Holding)']","[""58'"", ""83'""]","['Anton W.', 'Karazor A.']","['(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""46'"", ""64'"", ""65'"", ""81'"", ""81'""]","['Tomas T.', 'Sarr A.', 'Wind J.', 'Nmecha L.', 'Vranckx A.']","['Cerny V.', 'Majer L.', 'Behrens K.', 'Paredes K.', 'Gerhardt Y.']","['-', '-', '-', '-', '-']","[""71'"", ""72'"", ""86'"", ""87'"", ""90+7'""]","['Leweling J.', 'Undav D.', 'Silas', 'Jeong Woo-Yeong', 'Dahoud M.']","['Fuhrich C.', 'Millot E.', 'Mittelstadt M.', 'Guirassy S.', 'Stiller A.']","['-', '-', '-', '-', '-']",1.13,0.98,42%,58%,12,7,2,3,10,4,14,17,5,4,0,2,18,11,0,0,20,12,,,3,2,385,566,308,492,116,93,42,38,120,119,Brand B.  (Ger),Volkswagen Arena  (Wolfsburg),28 917,28 917
Bochum,RB Leipzig,1,4,2023/2024,2.03,17:30,"""1 - 1""","""0 - 3""","[""7'""]",['1 - 0'],['Wittek M.'],['-'],"[""30'"", ""68'"", ""71'"", ""72'""]","['1 - 1', '1 - 2', '1 - 3', '1 - 4']","['Olmo D.', 'Openda L.', 'Ordets I.', 'Poulsen Y.']","['(Sesko B.)', '(Haidara A.)', '(Own goal)', '(Simons X.)']","[""38'"", ""66'"", ""77'""]","['Broschinski M.', 'Loosli N.', 'Ordets I.']","['(Roughing)', '(Holding)', '(Foul)']","[""45+3'"", ""81'""]","['Haidara A.', 'Simakan M.']","['(Roughing)', '(Elbowing)']","[""86'""]",['Kwarteng M.'],['(Tripping)'],,,,"[""72'"", ""72'"", ""88'""]","['Hofmann P.', 'Kwarteng M.', 'Paciencia G.']","['Broschinski M.', 'Bero M.', 'Asano T.']","['-', '-', '-']","[""65'"", ""65'"", ""65'"", ""78'"", ""88'""]","['Openda L.', 'Poulsen Y.', 'Elmas E.', 'Simakan M.', 'Bitshiabu E.']","['Sesko B.', 'Baumgartner C.', 'Olmo D.', 'Henrichs B.', 'Simons X.']","['-', '-', '-', '-', '-']",1.59,1.93,44%,56%,15,10,4,4,11,6,12,17,2,5,4,2,22,19,1,3,13,10,1,0,3,2,312,443,209,346,147,69,58,25,115,118,Osmers H.  (Ger),Vonovia Ruhrstadion  (Bochum),26 000,24 200
Darmstadt,Augsburg,0,6,2023/2024,2.03,17:30,"""0 - 5""","""0 - 1""",,,,,"[""2'"", ""12'"", ""20'"", ""25'"", ""29'"", ""84'""]","['0 - 1', '0 - 2', '0 - 3', '0 - 4', '0 - 5', '0 - 6']","['Tietz P.', 'Jensen F.', 'Demirovic E.', 'Vargas R.', 'Demirovic E.', 'Tietz P.']","['-', '(Vargas R.)', '-', '(Demirovic E.)', '(Jensen F.)', '(Engels A.)']","[""17'"", ""45+1'""]","['Muller J.', 'Karic E.']","['(Foul)', '(Roughing)']",,,,,,,,,,"[""27'"", ""27'"", ""41'"", ""74'"", ""74'""]","['Holtmann G.', 'Zimmermann C.', 'Muller A.', 'Vilhelmsson O.', 'Torsiello F.']","['Gjasula K.', 'Muller J.', 'Holland F.', 'Pfeiffer L.', 'Polter S.']","['-', '-', '(Injury)', '-', '-']","[""46'"", ""60'"", ""60'"", ""71'"", ""74'""]","['Engels A.', 'Dorsch N.', 'Biel P.', 'Beljo D.', 'Bauer M.']","['Jensen F.', 'Jakic K.', 'Maier A.', 'Demirovic E.', 'Gouweleeuw J.']","['-', '-', '-', '-', '-']",1.22,3.31,43%,57%,10,21,5,6,5,15,12,5,3,6,1,0,27,13,0,5,4,12,,,2,0,403,501,306,421,86,95,32,30,112,118,Zwayer F.  (Ger),Merck-Stadion am Bollenfalltor  (Darmstadt),17 810,17 810
Heidenheim,Eintracht Frankfurt,1,2,2023/2024,2.03,17:30,"""0 - 1""","""1 - 1""","[""59'""]",['1 - 2'],['Pieringer M.'],['(Dinkci E.)'],"[""39'"", ""49'""]","['0 - 1', '0 - 2']","['Gimber B.', 'Nkounkou N.']","['(Own goal)', '(Tuta)']","[""62'""]",['Dinkci E.'],['(Foul)'],"[""25'"", ""31'"", ""77'"", ""86'""]","['Dina Ebimbe J.', 'Koch R.', 'Ekitike H.', 'Trapp K.']","['(Tripping)', '(Roughing)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)']",,,,,,,"[""54'"", ""54'"", ""54'"", ""72'"", ""85'""]","['Theuerkauf N.', 'Pieringer M.', 'Beck A.', 'Schimmer S.', 'Pick F.']","['Gimber B.', 'Sessa K.', 'Busch M.', 'Dovedan N.', 'Dinkci E.']","['-', '-', '-', '-', '-']","[""46'"", ""46'"", ""66'"", ""79'"", ""85'""]","['Larsson H.', 'Ekitike H.', 'Skhiri E.', 'Gotze M.', 'Smolcic H.']","['Dina Ebimbe J.', 'Max P.', 'Koch R.', 'Marmoush O.', 'Knauff A.']","['-', '-', '-', '-', '-']",1.18,2.22,53%,47%,16,11,3,6,13,5,11,8,7,3,1,1,30,19,5,2,6,10,,,1,4,389,309,323,235,128,92,57,20,117,119,Storks S.  (Ger),Voith-Arena  (Heidenheim),15 000,15 000
Mainz,B. Monchengladbach,1,1,2023/2024,2.03,17:30,"""1 - 0""","""0 - 1""","[""12'""]",['1 - 0'],['Burkardt J.'],['(Lee Jae-Sung)'],"[""55'""]",['1 - 1'],['Ngoumou N.'],['(Neuhaus F.)'],"[""50'"", ""56'"", ""58'"", ""81'"", ""90+3'""]","['Barreiro L.', 'Henriksen B.', 'Kohr D.', 'Mwene P.', 'Amiri N.']","['(Foul)', '(Not on pitch)', '(Foul)', '(Tripping)', '(Foul)']","[""43'""]",['Ngoumou N.'],['(Roughing)'],"[""83'""]",['Kohr D.'],['(Unsportsmanlike conduct)'],,,,"[""68'"", ""68'"", ""76'"", ""88'""]","['Krauss T.', 'Onisiwo K.', 'Richter M.', 'da Costa D.']","['Gruda B.', 'Lee Jae-Sung', 'Widmer S.', 'Burkardt J.']","['-', '-', '-', '-']","[""46'"", ""78'"", ""78'"", ""90'""]","['Netz L.', 'Hack R.', 'Reitz R.', 'Ranos G.']","['Lainer S.', 'Ngoumou N.', 'Neuhaus F.', 'Kone M.']","['-', '-', '-', '-']",1.45,1.26,43%,57%,21,14,5,5,16,9,20,12,12,6,0,5,17,16,4,4,12,15,1,0,5,1,316,442,237,358,125,91,40,27,114,110,Schroder R.  (Ger),Mewa Arena  (Mainz),34 000,33 305
Union Berlin,Dortmund,0,2,2023/2024,2.03,17:30,"""0 - 1""","""0 - 1""",,,,,"[""41'"", ""90'""]","['0 - 1', '0 - 2']","['Adeyemi K.', 'Maatsen I.']","['(Fullkrug N.)', '-']","[""75'"", ""90+5'""]","['Haberer J.', 'Vertessen Y.']","['(Roughing)', '(Tripping)']","[""45'""]",['Ryerson J.'],['(Roughing)'],,,,,,,"[""61'"", ""61'"", ""69'"", ""69'"", ""81'""]","['Vertessen Y.', 'Haberer J.', 'Aaronson B.', 'Trimmel C.', 'Bedia C.']","['Hollerbach B.', 'Tousart L.', 'Khedira R.', 'Roussillon J.', 'Leite D.']","['-', '-', '-', '-', '-']","[""66'"", ""78'"", ""88'""]","['Ozcan S.', 'Gittens J.', 'Bensebaini R.']","['Brandt J.', 'Adeyemi K.', 'Sancho J.']","['-', '-', '-']",1.34,1.75,42%,58%,13,12,5,7,8,5,9,17,8,7,4,1,10,14,5,5,11,8,,,2,1,349,591,265,502,94,136,53,48,125,122,Dingert C.  (Ger),Stadion An der Alten Försterei  (Berlin),22 012,22 012
